Inputfile FileNo. ParticleNo. Valid red green blue bright redstd greenstd bluestd brightstd redhi greenhi bluehi brighthi area perimeter circ 
ImageA.jpg 1 1 0 3.439804e+01 1.235916e+02 5.229958e+01 8.875592e+01 2.452133e+00 1.140291e+01 4.581258e+00 7.746241e+00 39 142 60 102 12848 5.116930e+02 6.166325e-01 
ImageA.jpg 1 2 0 33 109 47 79 0 0 0 0 255 255 255 255 11 1.003200e+01 1.373496e+00 
ImageA.jpg 1 3 0 34 108 49 79 0 0 0 0 255 255 255 255 2 1.960000e+00 6.542259e+00 
ImageA.jpg 1 4 0 34 108 49 79 0 0 0 0 255 255 255 255 1 0 Inf 
ImageA.jpg 1 5 0 3.994351e+01 1.572655e+02 6.577768e+01 1.117691e+02 3.919702e+00 1.915851e+01 8.950744e+00 1.329638e+01 45 180 76 128 18604 5.327500e+02 8.237004e-01 
ImageA.jpg 1 6 0 34 107 51 79 0 0 0 0 255 255 255 255 1 0 Inf 
ImageA.jpg 1 7 0 3.397368e+01 1.085526e+02 4.960526e+01 7.955263e+01 9.149462e-01 7.240042e-01 7.547856e-01 7.240042e-01 36 110 51 81 38 2.922700e+01 5.590170e-01 
ImageA.jpg 1 8 0 34 1.082000e+02 4.920000e+01 7.920000e+01 6.666667e-01 4.216370e-01 4.216370e-01 4.216370e-01 35 109 50 80 10 1.095800e+01 1.046519e+00 
ImageA.jpg 1 9 0 3.872208e+01 1.529811e+02 6.315516e+01 1.085964e+02 3.491886e+00 1.723937e+01 7.578548e+00 1.183936e+01 44 178 74 126 21017 5.536250e+02 8.616863e-01 
ImageA.jpg 1 10 0 39 1.065000e+02 42 79 2.828427e+00 2.121320e+00 2.828427e+00 0 41 108 44 255 2 1.960000e+00 6.542259e+00 
ImageA.jpg 1 11 0 3.550000e+01 1.085000e+02 42 79 2.121320e+00 7.071068e-01 0 0 37 109 255 255 2 1.960000e+00 6.542259e+00 
ImageA.jpg 1 12 0 3.750000e+01 1.075000e+02 41 79 7.071068e-01 7.071068e-01 1.414214e+00 0 38 108 42 255 2 1.960000e+00 6.542259e+00 
ImageA.jpg 1 13 0 3.752819e+01 1.405225e+02 5.929325e+01 1.004632e+02 2.773153e+00 1.259937e+01 5.663349e+00 8.716917e+00 42 158 67 113 16689 5.076990e+02 8.136311e-01 
ImageA.jpg 1 14 0 4.050000e+01 1.065000e+02 48 8.016667e+01 2.258318e+00 3.563706e+00 2.966479e+00 1.471960e+00 44 110 52 82 6 7.501000e+00 1.340055e+00 
ImageA.jpg 1 15 0 3.490476e+01 1.135714e+02 4.271429e+01 8.195238e+01 1.513432e+00 3.340231e+00 2.951997e+00 2.312492e+00 37 119 46 86 21 1.630900e+01 9.921435e-01 
ImageA.jpg 1 16 0 3.723077e+01 1.116154e+02 4.776923e+01 82 3.789324e+00 3.905946e+00 2.350668e+00 1.825742e+00 42 116 51 84 13 1.554800e+01 6.757782e-01 
